Year,PlayerID,Player,Position,TeamID,Team
2021,203999,Nikola Jokic,C,1610612743,Denver Nuggets
2020,203507,Giannis Antetokounmpo,F,1610612749,Milwaukee Bucks
2019,203507,Giannis Antetokounmpo,F,1610612749,Milwaukee Bucks
2018,201935,James Harden,G,1610612745,Houston Rockets
2017,201566,Russell Westbrook,G,1610612760,Oklahoma City Thunder
2016,201939,Stephen Curry,G,1610612744,Golden State Warriors
2015,201939,Stephen Curry,G,1610612744,Golden State Warriors
2014,201142,Kevin Durant,F,1610612760,Oklahoma City Thunder
2013,2544,LeBron James,F,1610612748,Miami Heat
2012,2544,LeBron James,SF,1610612748,Miami Heat
2011,201565,Derrick Rose,PG,1610612741,Chicago Bulls
2010,2544,LeBron James,SF,1610612739,Cleveland Cavaliers
2009,2544,LeBron James,SF,1610612739,Cleveland Cavaliers
2008,977,Kobe Bryant,SF,1610612747,Los Angeles Lakers
2007,1717,Dirk Nowitzki,F,1610612742,Dallas Mavericks
2006,959,Steve Nash,PG,1610612756,Phoenix Suns
2005,959,Steve Nash,PG,1610612756,Phoenix Suns
2004,708,Kevin Garnett,PF,1610612750,Minnesota Timberwolves
2003,1495,Tim Duncan,C,1610612759,San Antonio Spurs
2002,1495,Tim Duncan,C,1610612759,San Antonio Spurs
2001,947,Allen Iverson,SG,1610612755,Philadelphia 76ers
2000,406,Shaquille O'Neal,C,1610612747,Los Angeles Lakers
1999,252,Karl Malone,PF,1610612762,Utah Jazz
1998,893,Michael Jordan,G,1610612741,Chicago Bulls
1997,252,Karl Malone,PF,1610612762,Utah Jazz
1996,893,Michael Jordan,G,1610612741,Chicago Bulls
1995,764,David Robinson,C,1610612759,San Antonio Spurs
1994,165,Hakeem Olajuwon,C,1610612745,Houston Rockets
1993,787,Charles Barkley,F,1610612756,Phoenix Suns
1992,893,Michael Jordan,G,1610612741,Chicago Bulls
1991,893,Michael Jordan,G,1610612741,Chicago Bulls
1990,77142,Magic Johnson,F,1610612747,Los Angeles Lakers
1989,77142,Magic Johnson,F,1610612747,Los Angeles Lakers
1988,893,Michael Jordan,G,1610612741,Chicago Bulls
1987,77142,Magic Johnson,F,1610612747,Los Angeles Lakers
1986,1449,Larry Bird,SF,1610612738,Boston Celtics
1985,1449,Larry Bird,SF,1610612738,Boston Celtics
1984,1449,Larry Bird,SF,1610612738,Boston Celtics
1983,77449,Moses Malone,C,1610612755,Philadelphia 76ers
1982,77449,Moses Malone,C,1610612745,Houston Rockets
1981,76681,Julius Erving,SF,1610612755,Philadelphia 76ers
1980,76003,Kareem Abdul-Jabbar,C,1610612747,Los Angeles Lakers
1979,77449,Moses Malone,C,1610612745,Houston Rockets
1978,78450,Bill Walton,C,1610612757,Portland Trail Blazers
1977,76003,Kareem Abdul-Jabbar,C,1610612747,Los Angeles Lakers
1976,76003,Kareem Abdul-Jabbar,C,1610612747,Los Angeles Lakers
1975,77498,Bob McAdoo,C,1610612764,Buffalo Braves
1974,76003,Kareem Abdul-Jabbar,C,1610612749,Milwaukee Bucks
