id,full_name,first_name,last_name,is_active,team_id,birthdate,country,height,weight,position,team_name,from_year,to_year,points,assists,rebounds,all_star_appearances
76001,Alaa Abdelnaby,Alaa,Abdelnaby,0,1610612757,6/24/68,USA,82,240,Forward,Trail Blazers,1990,1994,5.7,0.3,3.3,0
76002,Zaid Abdul-Aziz,Zaid,Abdul-Aziz,0,1610612745,4/7/46,USA,81,235,Center,Rockets,1968,1977,9,1.2,8,0
76003,Kareem Abdul-Jabbar,Kareem,Abdul-Jabbar,0,1610612747,4/16/47,USA,86,225,Center,Lakers,1969,1988,24.6,3.6,11.2,18
51,Mahmoud Abdul-Rauf,Mahmoud,Abdul-Rauf,0,1610612743,3/9/69,USA,73,162,Guard,Nuggets,1990,2000,14.6,3.5,1.9,0
1505,Tariq Abdul-Wahad,Tariq,Abdul-Wahad,0,1610612758,11/3/74,France,78,235,Forward-Guard,Kings,1997,2003,7.8,1.1,3.3,0
949,Shareef Abdur-Rahim,Shareef,Abdur-Rahim,0,1610612763,12/11/76,USA,81,245,Forward,Grizzlies,1996,2007,18.1,2.5,7.5,1
76005,Tom Abernethy,Tom,Abernethy,0,1610612744,5/6/54,USA,79,220,Forward,Warriors,1976,1980,5.6,1.2,3.2,0
76006,Forest Able,Forest,Able,0,1610612755,7/27/32,USA,75,180,Guard,Nationals,1956,1956,0,1,1,0
76007,John Abramovic,John,Abramovic,0,1610610031,2/9/19,USA,75,195,Forward,Ironmen,1946,1947,9.5,0.7,,0
203518,Alex Abrines,Alex,Abrines,0,0,8/1/93,Spain,78,200,Guard,,2016,2018,5.3,0.5,1.4,0
101165,Alex Acker,Alex,Acker,0,1610612746,1/21/83,USA,77,185,Guard,Clippers,2005,2008,2.7,0.5,1,0
76008,Donald Ackerman,Donald,Ackerman,0,1610612752,9/4/30,USA,72,183,Guard,Knicks,1953,1953,1.5,0.8,0.5,0
76009,Mark Acres,Mark,Acres,0,1610612753,11/15/62,USA,83,220,Center,Magic,1987,1992,3.6,0.5,4.1,0
76010,Charles Acton,Charles,Acton,0,1610612745,1/11/42,USA,78,210,Forward,Rockets,1967,1967,3.3,0.5,2,0
203112,Quincy Acy,Quincy,Acy,0,0,10/6/90,USA,79,240,Forward,,2012,2018,4.9,0.6,3.5,0
76011,Alvan Adams,Alvan,Adams,0,1610612756,7/19/54,USA,81,210,Center,Suns,1975,1987,14.1,4.1,7,1
76012,Don Adams,Don,Adams,0,1610612765,11/27/47,USA,79,210,Forward,Pistons,1970,1976,8.7,1.8,5.6,0
200801,Hassan Adams,Hassan,Adams,0,0,6/20/84,USA,76,220,Forward,,2006,2008,2.5,0.2,1.2,0
1629121,Jaylen Adams,Jaylen,Adams,0,0,5/4/96,USA,72,225,Guard,,2018,2020,0.3,0.3,0.4,
203919,Jordan Adams,Jordan,Adams,0,1610612763,7/8/94,USA,77,209,Guard,Grizzlies,2014,2015,3.2,0.6,0.9,0
149,Michael Adams,Michael,Adams,0,1610612743,1/19/63,USA,70,165,Guard,Nuggets,1985,1995,14.7,6.4,2.9,1
203500,Steven Adams,Steven,Adams,1,1610612740,7/20/93,New Zealand,83,265,Center,Pelicans,2013,2020,8.1,2,9.2,
912,Rafael Addison,Rafael,Addison,0,1610612751,7/22/64,USA,80,241,Forward,Nets,1986,1996,5.8,0.9,2.1,0
1628389,Bam Adebayo,Bam,Adebayo,1,1610612748,7/18/97,USA,81,255,Center-Forward,Heat,2017,2020,19.2,5.4,9.5,
1629061,Deng Adel,Deng,Adel,0,1610612739,2/1/97,South Sudan,79,200,Forward,Cavaliers,2018,2018,1.7,0.3,1,0
76015,Rick Adelman,Rick,Adelman,0,1610612757,6/16/46,USA,74,175,Guard,Trail Blazers,1968,1974,7.7,3.5,2.4,0
202399,Jeff Adrien,Jeff,Adrien,0,0,2/10/86,USA,,,,,2010,2014,4.6,0.7,4.3,0
201167,Arron Afflalo,Arron,Afflalo,0,1610612753,10/15/85,USA,77,210,Guard,Magic,2007,2017,10.8,1.8,2.9,0
200772,Maurice Ager,Maurice,Ager,0,0,2/9/84,USA,77,202,Forward-Guard,,2006,2010,2.1,0.2,0.6,0
76016,Mark Aguirre,Mark,Aguirre,0,1610612742,12/10/59,USA,78,232,Forward,Mavericks,1981,1993,20,3.1,5,3
201336,Blake Ahearn,Blake,Ahearn,0,1610612748,5/27/84,USA,74,190,Guard,Heat,2007,2011,4.6,1.2,1.2,0
76017,Danny Ainge,Danny,Ainge,0,1610612738,3/17/59,USA,77,175,Guard,Celtics,1981,1994,11.5,4,2.7,1
201582,Alexis Ajinca,Alexis,Ajinca,0,1610612740,5/6/88,France,86,248,Center,Pelicans,2008,2017,5.3,0.5,3.9,0
76018,Henry Akin,Henry,Akin,0,1610612752,7/31/44,USA,82,225,Center,Knicks,1966,1967,3.5,0.5,2.1,0
203006,Josh Akognon,Josh,Akognon,0,1610612742,2/10/86,USA,71,185,Guard,Mavericks,2012,2012,1.7,0.3,0.3,0
