id,full_name,abbreviation,nickname,city,state,year_founded,Owner_name,headcoach_name,generalmanager_name
1610612737,Atlanta Hawks,ATL,Hawks,Atlanta,Atlanta,1949,Tony Ressler,Travis Schlenk,Nate McMillan
1610612738,Boston Celtics,BOS,Celtics,Boston,Massachusetts,1946,Wyc Grousbeck,Danny Ainge,Brad Stevens
1610612751,Brooklyn Nets,BKN,Nets,Brooklyn,New York,1976,Joe Tsai,Sean Marks,Steve Nash
1610612766,Charlotte Hornets,CHA,Hornets,Charlotte,North Carolina,1988,Michael Jordan,Mitch Kupchak,James Borrego
1610612741,Chicago Bulls,CHI,Bulls,Chicago,Illinois,1966,Jerry Reinsdorf,Arturas Karnisovas,Billy Donovan
1610612739,Cleveland Cavaliers,CLE,Cavaliers,Cleveland,Ohio,1970,Dan Gilbert,Koby Altman,JB Bickerstaff
1610612742,Dallas Mavericks,DAL,Mavericks,Dallas,Texas,1980,Mark Cuban,Donnie Nelson,Rick Carlisle
1610612743,Denver Nuggets,DEN,Nuggets,Denver,Colorado,1976,Stan Kroenke,Tim Connelly,Michael Malone
1610612765,Detroit Pistons,DET,Pistons,Detroit,Michigan,1948,Tom Gores,Ed Stefanski,Dwane Casey
1610612744,Golden State Warriors,GSW,Warriors,Golden State,California,1946,Joe Lacob,Bob Myers,Steve Kerr
1610612745,Houston Rockets,HOU,Rockets,Houston,Texas,1967,Tilman Fertitta,Rafael Stone,Stephen Silas
1610612754,Indiana Pacers,IND,Pacers,Indiana,Indiana,1976,Herb Simon,Kevin Pritchard,Nate Bjorkgren
1610612746,Los Angeles Clippers,LAC,Clippers,Los Angeles,California,1970,Steve Ballmer,Michael Winger,Tyronn Lue
1610612747,Los Angeles Lakers,LAL,Lakers,Los Angeles,California,1948,Jerry Buss Family Trust,Rob Pelinka,Frank Vogel
1610612763,Memphis Grizzlies,MEM,Grizzlies,Memphis,Tennessee,1995,Robert Pera,Zach Kleiman,Taylor Jenkins
1610612748,Miami Heat,MIA,Heat,Miami,Florida,1988,Micky Arison,Pat Riley,Erik Spoelstra
1610612749,Milwaukee Bucks,MIL,Bucks,Milwaukee,Wisconsin,1968,Wesley Edens,Jon Horst,Mike Budenholzer
1610612750,Minnesota Timberwolves,MIN,Timberwolves,Minnesota,Minnesota,1989,Glen Taylor,Scott Layden,Chris Finch
1610612740,New Orleans Pelicans,NOP,Pelicans,New Orleans,Louisiana,2002,Tom Benson,Trajan Langdon,Stan Van Gundy
1610612752,New York Knicks,NYK,Knicks,New York,New York,1946,James Dolan,Leon Rose,Tom Thibodeau
1610612760,Oklahoma City Thunder,OKC,Thunder,Oklahoma City,Oklahoma,1967,Clay Bennett,Sam Presti,Mark Daigneault
1610612753,Orlando Magic,ORL,Magic,Orlando,Florida,1989,Rick DeVos,John Hammond,Steve Clifford
1610612755,Philadelphia 76ers,PHI,76ers,Philadelphia,Pennsylvania,1949,Joshua Harris,Elton Brand,Doc Rivers
1610612756,Phoenix Suns,PHX,Suns,Phoenix,Arizona,1968,Robert Sarver,James Jones,Monty Williams
1610612757,Portland Trail Blazers,POR,Trail Blazers,Portland,Oregon,1970,Paul Allen,Neil Olshey,Terry Stotts
1610612758,Sacramento Kings,SAC,Kings,Sacramento,California,1948,Vivek Ranadive,Monte McNair,Luke Walton
1610612759,San Antonio Spurs,SAS,Spurs,San Antonio,Texas,1976,Peter Holt,Brian Wright,Gregg Popovich
1610612761,Toronto Raptors,TOR,Raptors,Toronto,Ontario,1995,Maple Leaf Sports and Entertainment,Masai Ujiri,Nick Nurse
1610612762,Utah Jazz,UTA,Jazz,Utah,Utah,1974,Ryan Smith,Dennis Lindsey,Quin Snyder
1610612764,Washington Wizards,WAS,Wizards,Washington,District of Columbia,1961,Ted Leonsis,Tommy Sheppard,Scott Brooks
